year,region,prov_code,province,can_code,canton,gdp,exports,imports,population,gdp_2019,population_2019,exports_2019,imports_2019,gdp_pc,trade_balance,gdp_pc_2019,gdp_cagr,gdp_pc_cagr,population_cagr,gdp_cagr_cat,gdp_pc_cagr_cat,growth_type
2022,Huetar Norte,4,Heredia,410,Sarapiqui,295008.42,150359.92,7549.24,67153,297728.62,80895,122805.3103,11436.59,4.393078790225307,142810.68000000002,3.6804329068545645,-0.0030548252125389697,0.06077521147743892,-0.06017300932313063,Recession,Strong,Efficiency Gain
2022,Central,2,Alajuela,212,Sarchi,111290.82,17523.68,2362.67,21562,81100.91,21945,11685.28682,2741.88,5.1614330767090255,15161.01,3.695644110275689,0.1112485441834341,0.11778956977667732,-0.005851750427900315,Strong,Strong,Inclusive
2022,Huetar Caribe,7,Limon,703,Siquirres,457367.62,74828.72,101957.39,63765,350219.97,64501,59942.94987,70138.41,7.172706343605426,-27128.67,5.429682795615571,0.09305371035101517,0.09724311411575748,-0.003818118073238841,Strong,Strong,Inclusive
2022,Huetar Caribe,7,Limon,704,Talamanca,169066.72,1257.38,161.84,48906,142372.65,42351,2643.989796,327.78,3.456972968551916,1095.5400000000002,3.3617305376496422,0.05895422187739374,0.009355982521580763,0.04913850040488832,Strong,Slow,Inclusive
2022,Central,1,San Jose,105,Tarrazu,101427.4,35897.34,1227.08,17810,69589.15,18399,24464.3685,2119.15,5.694969118472768,34670.259999999995,3.782224577422686,0.13380383168729293,0.14616731689311968,-0.010786806623783396,Strong,Strong,Inclusive
2022,Central,1,San Jose,113,Tibas,610637.22,27682.58,67344.95,74592,490551.89,84215,16385.9653,33874.93,8.186363416988417,-39662.369999999995,5.824994240930951,0.07572048657585428,0.12012160325943833,-0.039639550343803065,Strong,Strong,Inclusive
2022,Chorotega,5,Guanacaste,508,Tilaran,190875.59,80.04,2151.58,21232,221739.58,21619,856.2988794,3204.5,8.989995761115297,-2071.54,10.256699199777973,-0.048733088606855324,-0.042988207454340954,-0.006002936638045964,Recession,Recession,Decline
2022,Central,3,Cartago,305,Turrialba,354888.05,30180.71,10747.03,82065,323785.65,73656,22539.90045,11297.57,4.324475111192347,19433.68,4.395916829586184,0.03104572577556075,-0.005446893371661599,0.03669247916879659,Moderate,Recession,Population-driven
2022,Central,1,San Jose,116,Turrubares,17647.86,3.49,158.17,6173,14900.61,6790,0.0,105.96,2.8588789891462825,-154.67999999999998,2.194493372606775,0.058025172782230516,0.09216226288830831,-0.0312564270585578,Strong,Strong,Inclusive
2022,Huetar Norte,2,Alajuela,213,Upala,175257.28,21823.33,52.33,57361,162947.46,53371,23845.58213,389.15,3.055338644723767,21771.0,3.053108617039216,0.02457280425992625,0.00024341146876438735,0.02432347217907327,Moderate,Slow,Inclusive
2022,Central,1,San Jose,111,Vazquez de Coronado,324300.59,1266.33,22825.15,67078,296535.55,70972,1174.932238,21019.34,4.834678881302365,-21558.82,4.178204784985628,0.03028408426765017,0.04984690076934095,-0.018633970807890865,Moderate,Strong,Inclusive
2022,Central,2,Alajuela,211,Zarcero,112093.28,3575.43,1589.91,15153,86765.71,14204,1261.601729,1471.73,7.397431531709892,1985.5199999999998,6.108540551957196,0.08912355493714985,0.06589517825619096,0.02179236491055403,Strong,Strong,Inclusive
